,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
42,2024-10-07T05:35:06.102Z,-24.1429,-67.0647,166.805,4.9,mww,80.0,55.0,2.512,1.1,us,us6000nx0l,2024-10-07T05:56:05.040Z,"76 km W of San Antonio de los Cobres, Argentina",earthquake,8.2,6.842,0.08,15.0,reviewed,us,us
43,2024-10-07T05:01:56.095Z,25.3194,142.6784,10.0,4.9,mb,46.0,117.0,1.824,0.82,us,us6000nx0h,2024-10-07T06:50:21.040Z,"Volcano Islands, Japan region",earthquake,8.42,1.556,0.094,36.0,reviewed,us,us
44,2024-10-07T04:38:15.411Z,12.3446,-86.8019,180.913,4.4,mb,31.0,146.0,0.575,0.76,us,us6000nx0g,2024-10-08T00:28:06.040Z,"13 km SE of León, Nicaragua",earthquake,8.94,2.782,0.179,9.0,reviewed,us,us
50,2024-10-07T02:24:16.648Z,-3.7278,151.4494,10.0,4.6,mb,17.0,104.0,0.848,0.57,us,us6000nx0y,2024-10-07T23:07:28.040Z,"94 km WNW of Rabaul, Papua New Guinea",earthquake,7.69,1.9,0.141,15.0,reviewed,us,us
52,2024-10-07T01:00:10.073Z,6.825,125.8025,33.36,4.6,mb,20.0,118.0,0.329,0.82,us,us6000nwzw,2024-10-07T22:39:54.040Z,"11 km SSE of San Remigio, Philippines",earthquake,13.56,4.567,0.132,17.0,reviewed,us,us
53,2024-10-07T00:33:16.194Z,-33.5384,-178.01,10.0,5.0,mb,35.0,130.0,4.264,1.24,us,us6000nwzm,2024-10-07T00:56:18.040Z,south of the Kermadec Islands,earthquake,11.06,1.89,0.103,30.0,reviewed,us,us
58,2024-10-06T22:53:36.433Z,-6.3909,128.382,362.143,4.5,mb,22.0,74.0,2.396,0.62,us,us6000nwyt,2024-10-06T23:05:54.040Z,"280 km NNE of Lospalos, Timor Leste",earthquake,10.57,8.002,0.131,17.0,reviewed,us,us
60,2024-10-06T21:52:59.301Z,-13.5766,-111.1482,10.0,5.6,mww,102.0,110.0,13.587,0.92,us,us6000nwyj,2024-10-07T21:56:04.868Z,central East Pacific Rise,earthquake,12.59,1.879,0.073,18.0,reviewed,us,us
61,2024-10-06T21:50:49.646Z,-20.7275,-174.2397,10.0,5.0,mb,24.0,108.0,0.931,0.77,us,us6000nwyi,2024-10-06T22:08:09.040Z,"97 km ENE of Kolonga, Tonga",earthquake,9.48,1.897,0.126,20.0,reviewed,us,us
62,2024-10-06T21:35:03.675Z,-33.4255,-178.474,10.0,4.9,mb,30.0,109.0,4.178,0.98,us,us6000nwyc,2024-10-06T21:51:54.040Z,south of the Kermadec Islands,earthquake,10.09,1.908,0.122,21.0,reviewed,us,us
64,2024-10-06T20:04:07.172Z,-4.9771,102.8475,59.093,4.5,mb,40.0,99.0,0.622,0.73,us,us6000nwxw,2024-10-06T20:36:59.040Z,"114 km SSW of Pagar Alam, Indonesia",earthquake,8.14,7.072,0.108,25.0,reviewed,us,us
66,2024-10-06T19:14:21.494Z,-15.9664,-74.5975,35.0,4.4,mb,28.0,152.0,4.515,0.95,us,us6000nwxl,2024-10-06T19:32:12.040Z,"31 km SW of Atiquipa, Peru",earthquake,5.77,1.925,0.112,23.0,reviewed,us,us
69,2024-10-06T17:56:25.706Z,64.8464,-17.6755,10.0,5.1,mww,65.0,102.0,1.566,0.44,us,us6000nwxc,2024-10-06T18:23:45.040Z,"95 km SSE of Akureyri, Iceland",earthquake,9.81,1.9,0.052,36.0,reviewed,us,us
71,2024-10-06T17:20:03.210Z,38.6405,141.7572,57.641,4.6,mb,28.0,142.0,2.212,0.41,us,us6000nwx8,2024-10-06T17:38:09.040Z,"34 km NE of Onagawa Chō, Japan",earthquake,6.66,8.937,0.152,13.0,reviewed,us,us
72,2024-10-06T17:10:03.972Z,9.1287,40.3209,10.0,4.9,mb,67.0,74.0,3.445,0.48,us,us6000nwx4,2024-10-08T11:19:58.649Z,"23 km NE of Āwash, Ethiopia",earthquake,8.83,1.856,0.069,65.0,reviewed,us,us
73,2024-10-06T16:47:42.613Z,-17.7267,-178.1744,582.698,4.4,mb,23.0,96.0,3.596,0.51,us,us6000nwx2,2024-10-06T17:10:05.040Z,"268 km E of Levuka, Fiji",earthquake,13.46,15.05,0.123,19.0,reviewed,us,us
78,2024-10-06T13:00:58.349Z,-17.2115,171.6429,10.0,5.2,mww,39.0,75.0,6.14,0.54,us,us6000nwwa,2024-10-06T13:20:31.040Z,Vanuatu region,earthquake,9.93,1.869,0.073,18.0,reviewed,us,us
79,2024-10-06T12:08:40.597Z,39.0052,25.8344,10.0,4.6,mb,26.0,48.0,0.837,0.91,us,us6000nww7,2024-10-07T07:28:56.784Z,"20 km SSW of Eresós, Greece",earthquake,4.88,1.884,0.165,11.0,reviewed,us,us
80,2024-10-06T11:08:56.917Z,53.2876,-167.0436,47.192,4.5,mwr,53.0,164.0,0.516,0.68,us,us6000nww1,2024-10-06T19:23:54.444Z,"73 km SSW of Unalaska, Alaska",earthquake,5.83,5.639,0.08,15.0,reviewed,us,us
84,2024-10-06T10:19:13.621Z,-40.3183,176.5809,21.42,4.7,mb,35.0,79.0,0.442,1.22,us,us6000nwva,2024-10-07T01:45:01.878Z,"42 km ESE of Dannevirke, New Zealand",earthquake,3.85,4.315,0.167,13.0,reviewed,us,us
85,2024-10-06T10:06:10.693Z,42.2457,144.5047,35.0,4.4,mb,43.0,137.0,1.029,0.54,us,us6000nwv8,2024-10-07T02:05:45.040Z,"81 km S of Kushiro, Japan",earthquake,6.9,1.94,0.093,33.0,reviewed,us,us
87,2024-10-06T08:34:13.638Z,53.3398,-167.0986,57.264,4.7,mb,48.0,163.0,0.473,0.96,us,us6000nwuu,2024-10-06T09:03:39.728Z,"70 km SSW of Unalaska, Alaska",earthquake,4.31,6.148,0.034,263.0,reviewed,us,us
90,2024-10-06T06:13:55.023Z,28.0963,139.7675,419.377,4.7,mb,106.0,31.0,2.365,0.66,us,us6000nwuh,2024-10-06T07:20:30.040Z,"Bonin Islands, Japan region",earthquake,10.14,7.696,0.026,462.0,reviewed,us,us
93,2024-10-06T05:26:36.812Z,12.4167,123.6419,12.022,4.8,mb,46.0,127.0,5.646,0.66,us,us6000nwua,2024-10-06T06:06:17.040Z,"5 km NNE of Masbate, Philippines",earthquake,9.91,3.182,0.097,33.0,reviewed,us,us
98,2024-10-06T03:26:57.751Z,-33.8077,-72.1083,23.688,4.5,mb,52.0,146.0,0.438,0.77,us,us6000nwtt,2024-10-06T03:50:47.040Z,"52 km WSW of San Antonio, Chile",earthquake,4.64,3.858,0.099,30.0,reviewed,us,us
100,2024-10-06T02:56:53.287Z,51.6388,175.4597,57.119,4.5,mb,72.0,198.0,1.958,0.81,us,us6000nwtm,2024-10-06T03:19:14.040Z,"205 km SE of Attu Station, Alaska",earthquake,13.29,9.77,0.066,67.0,reviewed,us,us
108,2024-10-05T23:02:00.488Z,-28.5736,-175.7417,34.954,5.1,mb,30.0,166.0,2.029,1.05,us,us6000nwsc,2024-10-05T23:18:39.040Z,Kermadec Islands region,earthquake,12.16,7.898,0.11,27.0,reviewed,us,us
111,2024-10-05T20:52:08.987Z,53.2052,-167.0581,51.993,4.4,mb,72.0,161.0,0.552,0.86,us,us6000nwss,2024-10-06T01:20:12.040Z,"82 km SSW of Unalaska, Alaska",earthquake,4.98,5.21,0.071,57.0,reviewed,us,us
114,2024-10-05T19:15:34.362Z,35.3597,52.8989,10.0,4.5,mb,52.0,142.0,4.934,0.81,us,us6000nwr9,2024-10-07T22:46:32.382Z,"50 km WSW of Semnan, Iran",earthquake,11.1,1.931,0.092,35.0,reviewed,us,us
122,2024-10-05T16:08:55.102Z,-41.3377,174.4207,48.54,5.1,mww,129.0,21.0,0.215,1.2,us,us6000nwqg,2024-10-07T18:23:23.594Z,"27 km WSW of Karori, New Zealand",earthquake,2.75,4.729,0.086,13.0,reviewed,us,us
125,2024-10-05T14:40:36.241Z,9.9631,126.3331,35.0,4.9,mb,68.0,99.0,2.97,0.81,us,us6000nwq6,2024-10-06T12:15:16.251Z,"27 km ENE of Pilar, Philippines",earthquake,7.24,1.863,0.06,88.0,reviewed,us,us
127,2024-10-05T12:50:42.585Z,53.2363,-167.1235,47.041,5.4,mww,78.0,124.0,0.504,0.79,us,us6000nwpv,2024-10-08T13:00:54.315Z,"81 km SSW of Unalaska, Alaska",earthquake,7.04,6.203,0.066,22.0,reviewed,us,us
128,2024-10-05T12:50:23.838Z,53.0819,-166.98,35.0,5.1,mwr,64.0,135.0,0.649,0.63,us,us6000nwq0,2024-10-08T13:00:38.277Z,"93 km SSW of Unalaska, Alaska",earthquake,3.92,1.931,0.066,22.0,reviewed,us,us
130,2024-10-05T12:08:12.354Z,37.6351,-31.6445,10.0,4.8,mb,66.0,83.0,4.855,0.89,us,us6000nwpm,2024-10-05T12:51:47.040Z,"197 km SSW of Lajes das Flores, Portugal",earthquake,11.06,1.872,0.067,69.0,reviewed,us,us
131,2024-10-05T11:45:30.324Z,-17.3967,-173.4475,40.756,5.4,mb,62.0,50.0,3.739,1.37,us,us6000nwpi,2024-10-07T08:31:16.314Z,"150 km NNE of Neiafu, Tonga",earthquake,8.71,6.769,0.034,300.0,reviewed,us,us
133,2024-10-05T11:19:10.520Z,-18.7626,-177.5599,371.448,4.5,mb,49.0,79.0,3.57,0.66,us,us6000nwpf,2024-10-06T08:06:27.040Z,Fiji region,earthquake,11.85,7.842,0.081,44.0,reviewed,us,us
134,2024-10-05T10:42:25.088Z,-19.3469,-172.5407,10.0,4.9,mb,48.0,87.0,2.484,0.65,us,us6000nwpd,2024-10-05T11:21:19.040Z,"170 km ESE of Neiafu, Tonga",earthquake,8.36,1.859,0.087,41.0,reviewed,us,us
135,2024-10-05T08:25:18.197Z,-16.3864,167.8638,206.409,4.8,mb,25.0,200.0,5.355,0.62,us,us6000nwp2,2024-10-05T08:59:23.040Z,"57 km ESE of Lakatoro, Vanuatu",earthquake,14.8,9.857,0.1,31.0,reviewed,us,us
137,2024-10-05T06:45:12.485Z,54.2938,-161.7133,31.075,4.9,mb,97.0,145.0,1.225,0.96,us,us6000nwnq,2024-10-05T19:12:35.077Z,"93 km SSE of King Cove, Alaska",earthquake,5.9,6.267,0.053,112.0,reviewed,us,us
145,2024-10-04T22:22:10.161Z,2.2567,128.3077,156.803,4.5,mb,34.0,109.0,1.749,0.51,us,us6000nwm9,2024-10-05T01:52:45.040Z,"67 km NNE of Tobelo, Indonesia",earthquake,12.03,6.845,0.113,23.0,reviewed,us,us
147,2024-10-04T21:21:11.974Z,4.9457,126.2526,102.506,4.7,mb,55.0,107.0,2.214,0.64,us,us6000nwls,2024-10-04T21:38:21.040Z,"101 km ESE of Sarangani, Philippines",earthquake,8.5,6.154,0.08,47.0,reviewed,us,us
148,2024-10-04T21:17:00.889Z,33.76,137.2026,360.0,4.4,mb,67.0,77.0,1.592,0.73,us,us6000nwlq,2024-10-04T21:46:12.040Z,"72 km SSE of Shima, Japan",earthquake,10.02,8.004,0.052,107.0,reviewed,us,us
149,2024-10-04T21:15:10.287Z,-19.8696,-175.1116,100.973,4.8,mb,20.0,217.0,1.506,0.53,us,us6000nwlr,2024-10-04T21:31:57.040Z,"79 km W of Pangai, Tonga",earthquake,15.13,10.553,0.128,19.0,reviewed,us,us
155,2024-10-04T14:48:06.319Z,9.958,126.4051,34.82,4.7,mb,42.0,116.0,2.984,0.66,us,us6000nwjp,2024-10-04T15:42:18.040Z,"35 km ENE of Pilar, Philippines",earthquake,11.78,5.107,0.097,32.0,reviewed,us,us
156,2024-10-04T13:58:58.685Z,-55.5383,-124.7457,10.0,5.3,mww,82.0,87.0,28.741,0.52,us,us6000nwkv,2024-10-04T20:32:09.040Z,southern East Pacific Rise,earthquake,9.19,1.802,0.11,8.0,reviewed,us,us
157,2024-10-04T13:49:01.187Z,70.6291,-14.7306,10.0,5.2,mww,93.0,46.0,6.415,0.39,us,us6000nwja,2024-10-04T14:06:42.040Z,"223 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.69,1.878,0.06,27.0,reviewed,us,us
160,2024-10-04T12:57:59.197Z,-20.3044,-69.9849,52.492,4.6,mb,17.0,86.0,0.141,0.76,us,us6000nwii,2024-10-05T01:33:30.402Z,"13 km ESE of Alto Hospicio, Chile",earthquake,5.45,5.937,0.206,7.0,reviewed,us,us
161,2024-10-04T11:47:46.121Z,70.7284,-14.8202,10.0,4.8,mb,37.0,61.0,6.492,0.83,us,us6000nwi9,2024-10-04T12:22:47.040Z,"224 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.06,1.905,0.074,58.0,reviewed,us,us
162,2024-10-04T11:42:16.224Z,70.7049,-14.7924,10.0,5.1,mww,56.0,54.0,6.475,0.75,us,us6000nwi8,2024-10-04T15:49:12.040Z,"224 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,8.63,1.858,0.103,9.0,reviewed,us,us
165,2024-10-04T08:58:49.536Z,70.7071,-14.7766,10.0,4.9,mww,41.0,64.0,6.479,1.04,us,us6000nwgt,2024-10-04T09:40:55.040Z,"223 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.74,1.914,0.065,23.0,reviewed,us,us
166,2024-10-04T08:53:02.569Z,-5.4677,34.1883,9.822,4.7,mb,34.0,70.0,5.286,0.61,us,us6000nwgr,2024-10-04T15:38:02.403Z,"41 km NW of Itigi, Tanzania",earthquake,10.52,3.97,0.11,25.0,reviewed,us,us
170,2024-10-04T06:32:16.794Z,-4.8477,133.8305,10.0,4.6,mb,14.0,93.0,2.482,1.28,us,us6000nwic,2024-10-06T05:23:02.040Z,"147 km NE of Tual, Indonesia",earthquake,7.17,1.83,0.146,14.0,reviewed,us,us
172,2024-10-04T05:57:19.704Z,37.9049,33.2863,10.0,4.5,mb,50.0,65.0,1.998,0.78,us,us6000nwgc,2024-10-04T07:11:50.040Z,"31 km NW of Karapınar, Turkey",earthquake,5.1,1.891,0.104,27.0,reviewed,us,us
173,2024-10-04T03:24:52.321Z,70.6423,-14.3397,10.0,4.5,mb,32.0,72.0,6.486,0.91,us,us6000nwfs,2024-10-04T03:44:07.040Z,"208 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,7.82,1.684,0.127,18.0,reviewed,us,us
174,2024-10-04T03:06:29.685Z,52.1423,178.0008,171.635,4.5,mb,117.0,88.0,0.399,0.74,us,us6000nwfn,2024-10-04T03:51:00.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,9.74,5.366,0.056,94.0,reviewed,us,us
182,2024-10-03T20:53:43.674Z,2.7903,128.1927,157.794,4.8,mb,51.0,123.0,2.168,0.82,us,us6000nwdx,2024-10-03T21:07:44.040Z,"119 km N of Tobelo, Indonesia",earthquake,9.29,7.775,0.08,48.0,reviewed,us,us
183,2024-10-03T20:10:01.902Z,70.7292,-14.7572,10.0,4.6,mb,33.0,62.0,6.502,0.35,us,us6000nwdn,2024-10-03T20:38:05.040Z,"222 km W of Olonkinbyen, Svalbard and Jan Mayen",earthquake,9.52,1.918,0.111,24.0,reviewed,us,us
185,2024-10-03T20:05:13.256Z,5.6965,126.1575,110.731,4.8,mb,51.0,83.0,1.48,0.81,us,us6000nwde,2024-10-03T20:23:27.040Z,"62 km ESE of Caburan, Philippines",earthquake,9.54,6.742,0.081,47.0,reviewed,us,us
186,2024-10-03T19:30:49.870Z,-17.7647,-178.3819,533.187,4.5,mb,65.0,33.0,3.446,0.9,us,us6000nwd5,2024-10-03T19:47:28.040Z,"246 km E of Levuka, Fiji",earthquake,11.68,8.26,0.043,161.0,reviewed,us,us
190,2024-10-03T17:39:44.449Z,-37.214,52.1688,10.0,4.9,mb,64.0,44.0,24.104,0.39,us,us6000nwc7,2024-10-03T18:00:44.040Z,South Indian Ocean,earthquake,8.56,1.859,0.07,63.0,reviewed,us,us
192,2024-10-03T16:15:38.942Z,12.7422,143.3985,91.368,4.6,mb,64.0,48.0,1.661,0.52,us,us6000nwbq,2024-10-03T16:56:24.040Z,"149 km WSW of Merizo Village, Guam",earthquake,9.11,6.101,0.056,96.0,reviewed,us,us
193,2024-10-03T14:42:18.381Z,-22.7305,-176.8602,167.346,4.9,mb,45.0,83.0,2.221,0.61,us,us6000nwau,2024-10-03T15:13:36.040Z,"236 km SW of Houma, Tonga",earthquake,14.54,6.962,0.085,43.0,reviewed,us,us
195,2024-10-03T13:54:20.796Z,51.0014,-176.2227,38.918,4.5,mb,49.0,195.0,0.928,0.81,us,us6000nwa7,2024-10-03T18:32:08.088Z,"101 km SSE of Adak, Alaska",earthquake,6.19,7.717,0.054,103.0,reviewed,us,us
197,2024-10-03T13:08:40.592Z,51.3378,-177.0247,35.0,5.1,mb,84.0,145.0,0.522,0.64,us,us6000nw9t,2024-10-08T13:18:55.126Z,"65 km SSW of Adak, Alaska",earthquake,3.84,1.68,0.028,402.0,reviewed,us,us
198,2024-10-03T13:08:06.252Z,-28.4632,-176.3346,10.0,5.3,mb,46.0,111.0,1.601,0.86,us,us6000nw9u,2024-10-03T13:25:51.040Z,Kermadec Islands region,earthquake,9.66,1.88,0.083,49.0,reviewed,us,us
201,2024-10-03T10:43:14.082Z,-0.9923,148.4357,10.0,5.4,mb,64.0,79.0,1.494,0.63,us,us6000nw94,2024-10-04T10:45:58.692Z,"173 km NE of Lorengau, Papua New Guinea",earthquake,6.12,1.828,0.069,72.0,reviewed,us,us
202,2024-10-03T10:10:52.308Z,21.8699,-106.7678,10.0,4.4,mb,176.0,200.0,3.991,0.61,us,us6000nw91,2024-10-07T12:55:56.040Z,"121 km W of Santa Cruz, Mexico",earthquake,9.5,1.974,0.036,221.0,reviewed,us,us
203,2024-10-03T10:03:09.081Z,-3.3762,131.0098,10.0,4.7,mb,29.0,69.0,1.318,0.64,us,us6000nw8x,2024-10-03T14:49:33.040Z,"151 km WSW of Fakfak, Indonesia",earthquake,6.74,1.5,0.1,30.0,reviewed,us,us
204,2024-10-03T08:19:04.925Z,21.3209,-45.3988,10.0,5.0,mb,94.0,52.0,15.643,0.65,us,us6000nw8l,2024-10-03T08:36:38.040Z,northern Mid-Atlantic Ridge,earthquake,11.07,1.881,0.058,96.0,reviewed,us,us
212,2024-10-03T01:50:31.220Z,-46.9021,33.3953,10.0,5.0,mb,38.0,77.0,17.408,0.79,us,us6000nw77,2024-10-03T02:12:52.040Z,Prince Edward Islands region,earthquake,12.89,1.817,0.109,28.0,reviewed,us,us
215,2024-10-02T23:27:09.351Z,11.7795,125.4921,64.138,4.7,mb,43.0,99.0,4.681,0.92,us,us6000nw6t,2024-10-02T23:42:35.040Z,"4 km NE of San Julian, Philippines",earthquake,10.64,7.754,0.091,37.0,reviewed,us,us
218,2024-10-02T21:41:46.963Z,-14.3041,167.2944,209.096,5.2,mww,63.0,64.0,6.843,0.66,us,us6000nw6c,2024-10-03T08:05:10.339Z,"54 km SSW of Sola, Vanuatu",earthquake,8.86,7.579,0.093,11.0,reviewed,us,us
219,2024-10-02T21:05:37.351Z,-34.8421,-179.5924,35.0,4.7,mb,25.0,115.0,3.202,1.13,us,us6000nw66,2024-10-02T21:45:15.040Z,south of the Kermadec Islands,earthquake,10.92,1.89,0.134,17.0,reviewed,us,us
221,2024-10-02T20:44:00.185Z,5.7544,126.0905,102.668,4.5,mb,43.0,88.0,1.402,0.61,us,us6000nw62,2024-10-03T17:25:20.040Z,"52 km ESE of Mangili, Philippines",earthquake,11.38,6.307,0.092,35.0,reviewed,us,us
224,2024-10-02T19:41:01.490Z,11.9994,-86.6932,114.993,4.6,mb,60.0,66.0,0.46,0.78,us,us6000nw5b,2024-10-02T20:36:49.040Z,"20 km W of Villa El Carmen, Nicaragua",earthquake,7.98,5.65,0.047,136.0,reviewed,us,us
227,2024-10-02T19:03:24.652Z,15.8322,-93.9908,72.169,4.4,mb,73.0,146.0,1.838,0.73,us,us6000nw51,2024-10-02T19:28:55.040Z,"25 km WSW of Cabeza de Toro, Mexico",earthquake,10.33,10.226,0.061,76.0,reviewed,us,us
229,2024-10-02T16:43:21.158Z,-7.4024,129.0732,121.221,4.4,mb,20.0,73.0,5.462,0.79,us,us6000nw4g,2024-10-03T22:47:40.040Z,"260 km ENE of Lospalos, Timor Leste",earthquake,8.82,8.665,0.143,15.0,reviewed,us,us
230,2024-10-02T16:20:49.186Z,-4.5278,101.8224,35.0,4.7,mb,39.0,188.0,1.142,0.73,us,us6000nw47,2024-10-02T16:49:49.040Z,"94 km SSW of Bengkulu, Indonesia",earthquake,8.8,1.96,0.106,28.0,reviewed,us,us
236,2024-10-02T14:40:53.561Z,35.578,141.0927,46.931,4.7,mb,38.0,141.0,2.532,0.56,us,us7000nhql,2024-10-04T14:43:04.040Z,"29 km SE of Hasaki, Japan",earthquake,6.91,7.652,0.117,22.0,reviewed,us,us
241,2024-10-02T10:51:09.956Z,13.1094,-89.9021,35.345,4.5,mwr,116.0,151.0,0.698,0.84,us,us7000nhpp,2024-10-02T11:10:31.040Z,"54 km S of Acajutla, El Salvador",earthquake,5.92,7.546,0.078,16.0,reviewed,us,us
243,2024-10-02T10:13:45.484Z,23.0683,141.5993,217.835,4.7,mb,50.0,112.0,4.045,0.52,us,us7000nhpl,2024-10-02T10:39:30.040Z,"Volcano Islands, Japan region",earthquake,13.73,8.471,0.081,47.0,reviewed,us,us
246,2024-10-02T08:11:53.589Z,-20.5217,-178.3739,539.95,4.5,mb,54.0,78.0,3.305,0.7,us,us7000nhnl,2024-10-02T08:34:16.040Z,Fiji region,earthquake,14.03,7.233,0.039,189.0,reviewed,us,us
247,2024-10-02T06:49:11.249Z,-17.6026,-69.5744,160.9,4.4,mb,30.0,114.0,0.731,0.75,us,us7000nhn6,2024-10-02T07:37:03.040Z,"45 km ENE of Palca, Peru",earthquake,7.66,6.692,0.134,16.0,reviewed,us,us
249,2024-10-02T05:03:22.348Z,11.788,-87.7772,10.0,4.4,mb,35.0,181.0,1.167,0.77,us,us7000nhmq,2024-10-03T04:06:10.815Z,"101 km SW of Corinto, Nicaragua",earthquake,6.8,1.969,0.079,46.0,reviewed,us,us
252,2024-10-02T04:44:00.199Z,-1.1184,127.5419,10.0,4.5,mb,25.0,106.0,1.886,0.43,us,us7000nhmk,2024-10-08T01:05:14.040Z,"54 km S of Labuha, Indonesia",earthquake,8.27,1.903,0.124,19.0,reviewed,us,us
258,2024-10-02T01:20:37.143Z,9.0944,126.9483,10.0,4.9,mb,54.0,84.0,2.426,0.44,us,us7000nhld,2024-10-04T03:55:12.040Z,"73 km ENE of Aras-asan, Philippines",earthquake,11.32,1.903,0.083,45.0,reviewed,us,us
259,2024-10-02T01:09:15.263Z,-7.207,106.4137,54.06,4.4,mb,27.0,112.0,1.252,0.91,us,us7000nhlt,2024-10-04T03:49:17.040Z,"28 km SSW of Pelabuhanratu, Indonesia",earthquake,10.73,7.9,0.117,21.0,reviewed,us,us
260,2024-10-02T01:09:07.871Z,-46.8323,-10.6186,10.0,5.3,mww,54.0,54.0,25.185,0.79,us,us7000nhlb,2024-10-04T03:23:12.313Z,southern Mid-Atlantic Ridge,earthquake,11.5,1.788,0.127,6.0,reviewed,us,us
